"","DT","Temp","Site"
"281",2021-12-16,45.17875,"Acadia Aqua Farm"
"282",2021-12-17,45.1016666666667,"Acadia Aqua Farm"
"283",2021-12-18,44.9029166666667,"Acadia Aqua Farm"
"284",2021-12-19,44.80875,"Acadia Aqua Farm"
"285",2021-12-20,44.5308333333333,"Acadia Aqua Farm"
"286",2021-12-21,44.34875,"Acadia Aqua Farm"
"287",2021-12-22,44.3066666666667,"Acadia Aqua Farm"
"288",2021-12-23,44.2541666666667,"Acadia Aqua Farm"
"289",2021-12-24,43.9529166666667,"Acadia Aqua Farm"
"290",2021-12-25,43.3958333333333,"Acadia Aqua Farm"
"291",2021-12-26,43.3004166666667,"Acadia Aqua Farm"
"292",2021-12-27,42.8525,"Acadia Aqua Farm"
"293",2021-12-28,42.7554166666667,"Acadia Aqua Farm"
"294",2021-12-29,42.33,"Acadia Aqua Farm"
"295",2021-12-30,42.5833333333333,"Acadia Aqua Farm"
"296",2021-12-31,42.76625,"Acadia Aqua Farm"
"297",2022-01-01,42.9133333333333,"Acadia Aqua Farm"
"298",2022-01-02,42.9829166666667,"Acadia Aqua Farm"
"299",2022-01-03,42.71875,"Acadia Aqua Farm"
"300",2022-01-04,42.6495833333333,"Acadia Aqua Farm"
"301",2022-01-05,42.3925,"Acadia Aqua Farm"
"302",2022-01-06,42.0641666666667,"Acadia Aqua Farm"
"303",2022-01-07,41.73875,"Acadia Aqua Farm"
"304",2022-01-08,41.6545833333333,"Acadia Aqua Farm"
"305",2022-01-09,41.4116666666667,"Acadia Aqua Farm"
"306",2022-01-10,41.2533333333333,"Acadia Aqua Farm"
"307",2022-01-11,41.03875,"Acadia Aqua Farm"
"308",2022-01-12,40.66875,"Acadia Aqua Farm"
"309",2022-01-13,40.175,"Acadia Aqua Farm"
"310",2022-01-14,39.4691666666667,"Acadia Aqua Farm"
"311",2022-01-15,39.1558333333333,"Acadia Aqua Farm"
"312",2022-01-16,39.45875,"Acadia Aqua Farm"
"313",2022-01-17,38.9525,"Acadia Aqua Farm"
